Date,City_name,Views
2022-04-06,Addis Ababa,0
2022-04-07,Addis Ababa,0
2022-04-08,Addis Ababa,0
2022-04-09,Addis Ababa,0
2022-04-10,Addis Ababa,0
2022-04-11,Addis Ababa,0
2022-04-12,Addis Ababa,0
2022-04-13,Addis Ababa,0
2022-04-14,Addis Ababa,0
2022-04-15,Addis Ababa,0
2022-04-16,Addis Ababa,0
2022-04-17,Addis Ababa,0
2022-04-18,Addis Ababa,0
2022-04-19,Addis Ababa,0
2022-04-20,Addis Ababa,0
2022-04-21,Addis Ababa,0
2022-04-22,Addis Ababa,0
2022-04-23,Addis Ababa,0
2022-04-24,Addis Ababa,0
2022-04-25,Addis Ababa,0
2022-04-26,Addis Ababa,0
2022-04-27,Addis Ababa,0
2022-04-28,Addis Ababa,0
2022-04-29,Addis Ababa,0
2022-04-30,Addis Ababa,10
2022-05-01,Addis Ababa,0
2022-05-02,Addis Ababa,0
2022-05-03,Addis Ababa,0
2022-05-04,Addis Ababa,0
2022-05-05,Addis Ababa,0
2022-05-06,Addis Ababa,0
2022-05-07,Addis Ababa,0
2022-05-08,Addis Ababa,0
2022-05-09,Addis Ababa,0
2022-05-10,Addis Ababa,0
2022-05-11,Addis Ababa,0
2022-05-12,Addis Ababa,0
2022-05-13,Addis Ababa,0
2022-05-14,Addis Ababa,0
2022-05-15,Addis Ababa,0
2022-05-16,Addis Ababa,0
2022-05-17,Addis Ababa,0
2022-05-18,Addis Ababa,0
2022-05-19,Addis Ababa,0
2022-05-20,Addis Ababa,0
2022-05-21,Addis Ababa,0
2022-05-22,Addis Ababa,0
2022-05-23,Addis Ababa,0
2022-05-24,Addis Ababa,0
2022-05-25,Addis Ababa,0
2022-05-26,Addis Ababa,0
2022-05-27,Addis Ababa,0
2022-05-28,Addis Ababa,0
2022-05-29,Addis Ababa,0
2022-05-30,Addis Ababa,0
2022-05-31,Addis Ababa,0
2022-06-01,Addis Ababa,0
2022-06-02,Addis Ababa,0
2022-06-03,Addis Ababa,0
2022-06-04,Addis Ababa,0
2022-06-05,Addis Ababa,0
2022-06-06,Addis Ababa,0
2022-06-07,Addis Ababa,0
2022-06-08,Addis Ababa,0
2022-06-09,Addis Ababa,0
2022-06-10,Addis Ababa,0
2022-06-11,Addis Ababa,0
2022-06-12,Addis Ababa,0
2022-06-13,Addis Ababa,12
2022-06-14,Addis Ababa,0
2022-06-15,Addis Ababa,12
2022-06-16,Addis Ababa,0
2022-06-17,Addis Ababa,10
2022-06-18,Addis Ababa,0
2022-06-19,Addis Ababa,0
2022-06-20,Addis Ababa,0
2022-06-21,Addis Ababa,0
2022-06-22,Addis Ababa,21
2022-06-23,Addis Ababa,0
2022-06-24,Addis Ababa,0
2022-06-25,Addis Ababa,0
2022-06-26,Addis Ababa,0
2022-06-27,Addis Ababa,0
2022-06-28,Addis Ababa,0
2022-06-29,Addis Ababa,0
2022-06-30,Addis Ababa,0
2022-07-01,Addis Ababa,31
2022-07-02,Addis Ababa,0
2022-07-03,Addis Ababa,0
2022-07-04,Addis Ababa,0
2022-07-05,Addis Ababa,0
2022-07-06,Addis Ababa,45
2022-07-07,Addis Ababa,0
2022-07-08,Addis Ababa,0
2022-07-09,Addis Ababa,0
2022-07-10,Addis Ababa,0
2022-07-11,Addis Ababa,0
2022-07-12,Addis Ababa,0
2022-07-13,Addis Ababa,0
2022-07-14,Addis Ababa,0
2022-07-15,Addis Ababa,0
2022-07-16,Addis Ababa,0
2022-07-17,Addis Ababa,0
2022-07-18,Addis Ababa,0
2022-07-19,Addis Ababa,0
2022-07-20,Addis Ababa,0
2022-07-21,Addis Ababa,12
2022-07-22,Addis Ababa,0
2022-07-23,Addis Ababa,0
2022-07-24,Addis Ababa,0
2022-07-25,Addis Ababa,0
2022-07-26,Addis Ababa,0
2022-07-27,Addis Ababa,0
2022-07-28,Addis Ababa,0
2022-07-29,Addis Ababa,0
2022-07-30,Addis Ababa,0
2022-07-31,Addis Ababa,15
2022-08-01,Addis Ababa,0
2022-08-02,Addis Ababa,0
2022-08-03,Addis Ababa,0
2022-08-04,Addis Ababa,0
2022-08-05,Addis Ababa,0
2022-08-06,Addis Ababa,0
2022-08-07,Addis Ababa,0
2022-08-08,Addis Ababa,134
2022-08-09,Addis Ababa,34
2022-08-10,Addis Ababa,0
2022-08-11,Addis Ababa,13
2022-08-12,Addis Ababa,0
2022-08-13,Addis Ababa,0
2022-08-14,Addis Ababa,0
2022-08-15,Addis Ababa,0
2022-08-16,Addis Ababa,0
2022-08-17,Addis Ababa,0
2022-08-18,Addis Ababa,13
2022-08-19,Addis Ababa,0
2022-08-20,Addis Ababa,0
2022-08-21,Addis Ababa,19
2022-08-22,Addis Ababa,0
2022-08-23,Addis Ababa,0
2022-08-24,Addis Ababa,0
2022-08-25,Addis Ababa,0
2022-08-26,Addis Ababa,0
2022-08-27,Addis Ababa,0
2022-08-28,Addis Ababa,0
2022-08-29,Addis Ababa,0
2022-08-30,Addis Ababa,0
2022-08-31,Addis Ababa,0
2022-09-01,Addis Ababa,0
2022-09-02,Addis Ababa,0
2022-09-03,Addis Ababa,0
2022-09-04,Addis Ababa,0
2022-09-05,Addis Ababa,0
2022-09-06,Addis Ababa,0
2022-09-07,Addis Ababa,0
2022-09-08,Addis Ababa,0
2022-09-09,Addis Ababa,0
2022-09-10,Addis Ababa,0
2022-09-11,Addis Ababa,0
2022-09-12,Addis Ababa,0
2022-09-13,Addis Ababa,0
2022-09-14,Addis Ababa,0
2022-09-15,Addis Ababa,0
2022-09-16,Addis Ababa,0
2022-09-17,Addis Ababa,0
2022-09-18,Addis Ababa,0
2022-09-19,Addis Ababa,0
2022-09-20,Addis Ababa,25
2022-09-21,Addis Ababa,10
2022-09-22,Addis Ababa,0
2022-09-23,Addis Ababa,0
2022-09-24,Addis Ababa,0
2022-09-25,Addis Ababa,0
